0,1,2,3,4,5
ZZEF1,AL355001.2,CELSR3,SETSIP,POU2F2,AC099520.1
ERMARD,PARP16,USP43,MUSTN1,PCSK4,STARD6
PPP1R3B,AC113410.4,CDK3,RNF128,AL391684.1,LINC02694
BCL9,BX255925.3,FOS,GORAB,ZMIZ1-AS1,AC005696.2
EDEM1,LDLRAP1,AC082651.1,AC098848.1,AL022238.2,LRRC19
AC021054.1,TEDC2,UGT2B7,AL121672.2,AC139887.4,AC026150.1
FEM1C,ACSL1,FAM71D,AC115618.1,AL356599.1,CABP4
VMO1,ZNF107,ASCL5,PERM1,LINC02739,PLD4
CRTC2,ST3GAL3,MSI1,AC009120.5,AL391121.1,UPB1
LNCTAM34A,ICE2,GRIP2,LINC00624,ADAMTS15,SLC14A2
DEPDC1B,TMEM68,RIMS3,ATP2C2,AL592435.1,GHR
PROSER3,CPA4,AL035420.3,FARP2,TBC1D22B,SLC14A1
ZKSCAN8,BMP6,AC007613.1,ZNRF3-AS1,SLC22A1,KLF8
VPS13C,ZNF530,AC090587.1,DDX28,COX6B2,HIGD2B
TOB1-AS1,HOXC5,LUM,DDI2,ADRA1B,AC087292.1
CD27-AS1,SEMA4C,TMEM52,NRL,ZNF547,AL691482.3
PTPN13,LBX2,TENM3-AS1,LINC00601,PER3,LINC01671
NUP50-DT,SPAG4,NPHP4,AC087477.2,AC093677.2,LOX
TAF4,ZNF419,FLNC,ATP6V0A1,AC084198.2,GRK5-IT1
HSD17B1,CASP9,AKAP6,JPH1,LIMD1-AS1,SOWAHB
PRKCZ,ZNF136,AC006262.1,AP001020.3,ARMCX4,GOLGA6L2
NREP,SOGA3,AC012236.1,AC073655.1,AC009996.1,ARSD-AS1
PARP12,DHRS7B,GUCA2B,AC006450.3,LINC01063,AC087273.1
POMGNT1,CENPQ,TLR5,LGR5,VPREB3,AL121890.5
FGF12,SLC16A5,AL158206.1,AL033530.1,NUDT12,AC025062.3
GOLIM4,SLC15A4,IL18BP,ATP13A4,B4GALT1-AS1,AC100800.1
TP63,MYOM3,TAPT1,LINC02028,MAP3K15,AL157938.2
ATRIP,MON2,DISP2,AC018635.2,NDUFB2-AS1,AC078852.1
AC006449.6,SBSN,ZNF417,ANGPTL8,THRIL,AL356489.3
ZC3H6,RABL3,HPX,FUT1,HOXD10,LZTS1
RSRP1,BX470102.2,ZNF529,LRRC75A,AC138150.1,GOLGA6L7
CREB3L4,NOC2L,ABCA7,PHKA2,PAQR9,AL050343.2
AC007541.1,ZNF449,AC096642.1,AC011445.2,AL033397.1,CELF2-DT
FLVCR1,LRRC46,EMID1,FAM72C,PCDHGA10,MIR3945HG
SH2D2A,UBE2O,TMEM240,LINC00623,AC062037.3,AC010201.1
FAM193B,LINC00909,IQANK1,AC018645.3,AL356481.1,AC006213.5
FAM120C,NIPBL-DT,SLC1A1,FIZ1,LHFPL5,CATSPERD
NEBL,UMAD1,SEPTIN3,TAPBPL,MDGA2,CAGE1
CCDC71,TSPAN33,LINC01447,HEMK1,ABCA12,AC111170.2
ANXA2R,SDCBP2-AS1,AL160006.1,PDCD4,ZNF774,AC007405.3
B3GNT10,HYAL3,DUSP15,ABCC8,AP001469.3,AC145207.6
IQCC,GTPBP1,SLAMF9,DPYSL5,UNC5CL,AC011595.2
SEC61A2,NUP50-DT,C10orf91,FAM160B1,PRKG1-AS1,HIST1H2BF
SETBP1,AL355075.4,SH2B3,MIR17HG,PCDHA5,SCN2A
CU634019.5,R3HDM1,ADGRG2,CATIP-AS1,AL731577.1,RFX4
ZNF114,GCFC2,PNPLA3,SMPD1,AC064836.4,C6orf58
TSPAN1,KMT2E-AS1,AL390728.6,ST6GALNAC3,DNHD1,LYZ
USP43,CMTM8,AL022345.4,ZNF805,POU4F1,AC012508.1
AJ009632.2,ETV6,ADORA2A,AC107993.1,LINC01341,PPP1R16B
CSF2RA,ATG16L1,AC008703.1,GUCA2B,AC104532.2,AC005746.2
PPP3CC,CCN4,PLAC1,HIST1H2BO,SNAP25-AS1,C17orf99
PIK3R4,ABCF3,GSTA2,MPZL3,PDZK1,FAM224B
TPPP,USP51,AL157400.2,TRIM25,AC010336.8,UBXN10
AC108047.1,MAP6D1,ITGA9-AS1,C10orf95,MAST4-AS1,POSTN
C5orf38,ITPKC,PNPLA7,PI4K2A,CDON,TMEM236
CES1,MAN2C1,MAP3K15,GFOD2,HIST1H2BE,KLHL33
RSPH1,OBSCN-AS1,AC093677.2,LGALS9,ARMH4,AC005339.1
AC027373.1,ZKSCAN2-DT,LMCD1-AS1,ONECUT1,AMT,AC073352.2
NAT1,DHX35,ENPP4,LINC00858,AC147067.1,AC010207.1
ZNF765,AL391069.2,SPEGNB,WNK4,HIST1H3C,LINC01013
LINC00862,CD40,LIMD1-AS1,LRIG1,ZNF597,AC138035.1
CBFA2T2,LINGO1,SAMD12,MFSD4A,AC004918.1,AC120024.1
TCN2,AL109615.3,RNF208,AC007952.2,SLC19A3,AL139390.1
LINC01146,TRIM52,KIAA0513,BCL11B,MIF-AS1,AC007681.1
HIST1H4H,ABHD17B,CFAP54,MIR4435-2HG,NSUN7,AC091132.1
NRTN,MYSM1,VIL1,NHS,EVI5L,AC078820.1
HIST1H2BN,SHROOM1,DNAJC28,GOLGA7B,AC108471.3,FOXG1
TXNDC15,CCDC88C,AL391244.2,ADM5,AC127024.5,AC110285.1
KIAA1217,GEN1,SYT7,UBLCP1,MDH1B,AL110292.1
RIPOR1,HHIP,AC090912.2,PCDHAC1,AC004825.2,AL590004.3
FASTKD1,OSMR-AS1,PIFO,SOD2-OT1,TNNC1,AC023424.3
STEAP3,CDH24,SAMD14,DHX57,LAT2,AC009237.14
EPS8L1,C8orf37,AC016682.1,NTN5,RNF165,AL109923.1
CCDC130,CTBS,AC017083.1,AC006449.5,GREB1,LINC02561
FOXJ2,CHST1,PPARGC1A,XIAP,MAP3K7CL,AL132800.1
LINC00886,PRKD2,CAHM,ZNF212,TMEM202-AS1,STXBP5L
GORASP1,AL138756.1,TMPPE,FGF14-AS2,BEGAIN,AC073912.2
CITED2,TYW1,LINC01564,SLC1A3,FABP6,ITPRIPL1
TATDN3,AL163051.1,C20orf194,AC233701.1,SNAI2,TRHDE
DUSP18,FANCB,FRRS1,NAA16,IRF7,SEPTIN4-AS1
SOX13,CCZ1B,FCMR,MAN1C1,LINC00618,AC089984.1
KMT2E-AS1,PALM3,PLEKHG5,AC016027.1,ADAMTSL5,MEDAG
EEF1AKMT2,ARMC8,AC097532.3,MESP2,AC008760.2,CERS6-AS1
SLC12A4,AC016065.1,PGAP1,ARHGAP25,FIRRE,AC025160.1
FOXN3-AS1,AC092807.3,KDM7A,GABRG3,INPP5J,AC016245.1
ZNF496,CMTM4,AC012467.2,AC107241.1,KRT15,AL034550.2
SRGAP2B,ELOVL2,ANKRD22,LINC02256,SHROOM2,AL359715.2
EREG,RGP1,AC012306.2,CD72,AL391988.1,AL512422.1
ARL6,ZNF557,AL118506.1,ENPEP,DUOX1,SELENOV
ALG11,SRBD1,FAAH2,LINC00449,CMTM1,BACH2
AP000873.2,MDGA2,AC006058.1,UTP18,AC012184.3,AL136131.3
ERAP2,JAM3,LIN7A,MACC1,AC022211.2,AC018521.2
CRIP3,RAMP2,DPH1,AC006299.1,TTTY14,IL20RA
TOP3B,XRRA1,ERVK13-1,AC023043.4,CDH6,AC012485.1
FBF1,BCKDHB,DNAH17-AS1,AL353593.3,ITGA10,LINC02643
H19,ZNF365,FBXL2,GET4,GRIN3B,IL1A
TNFSF9,SLC17A5,AC002558.3,TMTC1,AC099066.2,CHADL
GPR39,MFSD4B,UGDH-AS1,ANGEL1,ANKMY1,AC063943.1
MAPRE3,AC006058.3,IL7R,CLRN3,AL512343.2,LINC00390
GRINA,GATA2,ALDOC,BMP8A,TINCR,TP73
ALOX12-AS1,H6PD,MILR1,STKLD1,AC078983.1,PRMT5-AS1
SPACA6,ZNF234,KCNN1,OSR2,HIF1A-AS1,AL023806.4
PRDM2,PRRC2C,SOX6,SUGP1,RPL17,AC037487.2
FUT8,IGSF3,CGN,F5,CACFD1,ARHGAP31-AS1
CGREF1,GTPBP3,AC008870.2,CADM3,ZNF627,AC017002.1
LRP4-AS1,GCA,LGR6,AC072039.2,MFSD2A,AL023806.2
ODF2L,OCLN,VSTM4,AL139246.5,AL110114.1,AL023583.1
MYNN,AGPAT4,TSNAXIP1,AC239809.3,ADAM23,PLCH2
PGRMC2,ATXN7,ZNF177,AC104126.1,CITED1,LINC02021
FAM72D,HOXA1,SATB2-AS1,TMEM176A,AL158212.3,SKAP1
AQP11,ZDHHC17,AP003419.3,RASL11B,FYN,TESC-AS1
KLHL28,EPHA5,EFHD1,LINC01563,AC027117.2,AL009031.1
PELI2,SPPL2A,SUGCT,ETNPPL,ZNF879,AC131159.2
C1orf112,FAM161B,NECAB2,AC024361.1,MMP9,LINC01625
CRADD,TEX2,AC103706.1,AL512408.1,IER3-AS1,LINC00994
AC010913.1,EOGT,IL1RAP,VEPH1,MAMSTR,AL008725.1
AC092279.1,LHX1-DT,AC130895.1,LDLRAP1,TIAM1,TSPO2
CEPT1,LINC01193,NFATC2,AC008870.2,Z82217.1,AL161714.1
ZNF527,FAM43A,SLC38A10,CHPF2,MPRIP-AS1,PECAM1
ATP2B1-AS1,ADRA2C,ARHGDIB,ANKRD37,MMAA,SERPINE3
RFX5,AP002852.1,GSTA1,NEURL4,SLAIN1,AL031775.2
RGL1,CIPC,ENOX1,LINC00863,SAMD9L,APOBEC3G
CLCN7,LINC00513,NSUN7,AL024508.2,AC080038.1,HHLA2
C3orf67,GRK2,GUCY1B1,TSHZ3,LINC01909,ARHGEF6
BOK,DOCK7,EID3,ZNF470,ERVMER61-1,IDI2
PSPN,ZNF175,AP002813.1,GK5,AC018809.2,HMGA2-AS1
HDHD5-AS1,TDRKH,SERPINB3,SLC16A7,CCDC146,FITM1
AADAC,SLC38A6,UVSSA,AC124067.4,TUBA4B,WFDC3
LIMK2,MTA2,CNTNAP2,DIS3L,FAM72B,LINC01191
ZBTB2,C9orf92,AC254633.1,RAP2C-AS1,AC007878.1,AL355312.3
KLHL2,AL354836.1,LBP,RAP1GDS1,HLA-DMA,AL078590.2
UGGT1,AF117829.1,AC067852.3,DPF1,CFAP46,WIF1
KCNJ16,TUBE1,AL031666.1,PKM,ABLIM3,AC025283.2
ACOX3,AC016745.2,SNAP25-AS1,KLF10,RNF182,AL021578.1
AKAP6,TMEM53,BEGAIN,AC005670.1,GLUD2,GNGT2
SLC25A30,PIGB,ARHGAP44,INKA1,PACERR,ERFL
GSTA2,TRAF3IP2,LINC01341,AL355916.1,RAB6B,OR10G3
BX255925.3,NORAD,AL133330.1,AC021037.1,PITPNM3,AL451166.1
ARHGEF10L,PLCG2,SMPDL3B,LIPE,AC124798.1,VWA8-AS1
LINC00641,AP002761.4,AC245452.1,TNK1,UPK2,ADGRF1
DDAH1,FBXO6,LIME1,ZC3H10,AC008269.1,C12orf56
GPHN,SIX4,AC005021.1,ATP2B1,HOXB4,AC128687.2
TMTC2,TTC25,CNN1,C10orf55,AL590705.1,HCLS1
ZBTB17,AP000873.2,XKR9,ZSCAN9,AC093525.7,SLC25A30-AS1
UNC5D,FKBPL,AF196972.1,LINC01002,GCNA,AL121895.1
ZNF79,PI4KA,AC016355.1,AL627443.3,FAM226B,HCG20
CASC15,AC005332.6,HECW2-AS1,ZNF84,DLEU2L,AC138123.1
CLEC16A,SEC61A2,HUNK,AL365272.1,LSAMP,TMEM100
MAP2,KCNS3,ICOSLG,PRDM6,AP003068.2,TEX29
PTPRU,AP001053.1,DNMBP-AS1,MRPS30-DT,ZNF280A,LINC02518
CAPS2,PDSS2,SPANXA2-OT1,AC233992.3,AC244090.3,SLC22A2
AC004241.1,GLDC,CDH23,AC007292.1,ARHGAP8,AIRN
LPCAT4,CABYR,CD79A,CACNB2,AC087175.1,TSHZ2
HSF2,AC138696.2,IFIH1,AC104506.1,RGMB-AS1,CCDC38
TTC13,ZNF689,AC004918.4,KCTD18,AATK,LINC02258
HPX,ZNF141,AC105339.6,AL353572.4,MAP6,AC005790.1
EPHB6,COQ9,NID1,N4BP1,BX088651.4,FOXCUT
MDFIC,ZNF628,FPR1,AL353801.3,CAPS,AC123512.1
ZBTB10,HSPD1,CPEB3,MTAP,KLHL13,OR5H14
HIST1H3C,KIAA1614,SEMA4C,JSRP1,PPP1R1C,AL356756.1
TTLL7,PDSS1,CCDC84-DT,LINC02163,IGSF10,HAL
EFHC1,ITPKA,DAGLA,S100A14,NATD1,AL136526.1
PADI1,TONSL,HCG18,LINC01962,AC009118.3,SEMA5B
COLCA2,LINC00910,ZEB2,RABL6,PPP1R14D,AC093928.1
AC245407.2,SEC24B,USP20,AL157936.1,LINC01311,AL353704.1
HOXB6,SLC37A3,AC005532.1,HS3ST6,DLG3,AL158063.1
PABPN1,AC026979.2,ARHGEF35,AC011346.1,TCP11L2,TRIM15
NEURL4,ZNF213-AS1,AL139011.1,AL360178.1,AC135178.6,AL645608.6
RNF32,ARAP1,CRMP1,ABCC6,NRL,FGF14
RAVER2,C17orf100,SBSN,ZNF565,AL139330.1,PACRG-AS1
LIN7A,TBCEL,AP001830.1,AC093382.1,ATP1A3,TRIM10
ALG6,SLC9A3R1,KLRG2,AC138150.2,AL591069.1,ERC2
SNHG4,SUSD6,AC104113.1,NRGN,GOLGA6L9,HLA-G
MC1R,AL162231.1,SLC8A1,SRF,TRPA1,AC089998.1
ZNF337-AS1,PKN3,CCR7,ETFBKMT,ST6GALNAC3,AC015971.1
FBXO38,RPS6KA1,COLCA2,AL110115.2,TEX15,REV3L-IT1
AC234917.3,TMEM74B,CCDC148,KLK2,STARD5,AL022067.1
PDCD4-AS1,BDKRB1,NAGS,AC009108.3,IL1R2,AL139385.1
TMEM241,ZFP37,KCNK15-AS1,LINC01139,PTK6,LRP2
INTU,C1QL4,TMEM63A,PLAAT1,GPR82,AC004233.3
ZNF41,TRMT10A,KCNJ8,SPINK4,TOLLIP-AS1,AC092620.2
TTC14,EMILIN2,KLHL31,KLK6,RN7SL832P,AL662791.1
RABGAP1L,DCAF1,AL021154.1,SPATA3-AS1,SH2D5,CD8A
ETS1,NUP153,TRPC6,AC008555.4,WNT2B,LINC00621
KDM4A-AS1,MAPKAPK3,TMEM117,AL022323.1,AC019080.1,AC233263.6
STS,ARHGEF25,TRANK1,NCAM1,GSDMB,TREX2
SMPDL3B,TIAM2,PDK1,AL451069.3,YPEL1,AL031728.1
MIR210HG,AFAP1L1,TP53INP1,AL450345.2,KCNS3,AL133415.1
PPP6R2,AL135925.1,ZDHHC17,PSPN,PPM1L,LINC02631
ZNF407,ZNF503-AS2,AKNAD1,BARD1,AC107993.1,AFDN-DT
TTC3,ZBTB5,AC021037.1,MYCBP2,SERTAD4,AC091212.1
ZNF710,RBP7,GABBR2,SLC10A4,RAB42,AC103563.9
PAQR9-AS1,C18orf32,AL596202.1,SENP7,STK31,AC009522.1
FBXO48,CLK4,LINC02678,ZNF529-AS1,PRDM11,AC009065.5
RHBDF2,ACTR3B,PLXNA1,BAIAP2,CTTNBP2,NUS1
ITGB4,CCDC171,SULF2,TRIM45,TGFBR3L,KATNAL1
TSHZ1,DNAJB12,AC005670.1,TMEM151A,PARS2,PTPRG
STOX1,LMAN2L,PTPRN,BICD2,ZGLP1,SCAMP3
AP001505.1,FBXO48,AC009570.1,AC010883.1,AC008870.2,ZBED3
ABHD18,EFNA5,IQCJ-SCHIP1,RRAGD,NEB,PDE12
TRAF5,SZT2,POLN,BCL6,C6orf132,C1orf167
RASD1,LINC01119,PLEKHH1,PON1,AC103706.1,GAB3
PDP2,OTUD3,AL592494.2,CRKL,LNP1,AL355303.2
ETV3,HES6,ITGA10,AC007009.1,AP006333.1,AC007406.3
FAM27C,MTM1,ADM5,LILRB3,MILR1,MYT1L
ATL1,PIK3AP1,AC026356.2,AC073896.3,AC020910.5,AC087521.4
ZNF331,MORC2-AS1,AP000766.1,NEURL2,ADAM32,AC002094.2
DNAJB2,ARHGEF2,AC137630.2,GABARAP,AL450384.2,AC006942.1
TOGARAM1,TRAK2,AGAP1-IT1,IFIH1,AVIL,AL512413.1
AC073508.3,IGSF23,SPATA12,ARMCX5-GPRASP2,AL049548.1,TAF7L
RNF44,SLC2A11,AC007743.1,AMH,PTGER4,AL121748.1
TMEM94,ZNF324B,AC011921.1,LY6K,AC009113.1,AC073655.1
CASD1,KIF21A,RCN3,FEM1C,DHRSX-IT1,OR7C1
AC005332.3,AL441883.1,AC005537.1,GTF2IRD2B,REC8,AL391056.2
AGO1,ARHGEF11,GALNTL6,KLF4,AL645728.1,SOWAHA
PRRT3,SCN9A,TMEM191C,ARL17A,UGDH-AS1,AL356215.1
GRB10,SERPINA3,MED14OS,ELANE,C2orf15,AL031709.1
ZNF497,MTMR11,KALRN,SLC23A3,AL355999.1,AC068722.2
NUDT4,ACY3,AC005840.2,GATA2-AS1,FMNL3,GCGR
GAN,TICAM1,AC245041.1,GID4,WDR97,SEMA3D
SOCS7,EN1,ZNF782,ORC1,ACKR3,AC079354.3
DMXL1,ADAP2,ZFYVE26,SMIM11A,F5,AL450270.1
AC092164.1,SULT1A3,MYCBPAP,AL731569.1,MESP2,AC008655.1
AL162595.1,ITGA4,NIPSNAP3B,ITGB2,STKLD1,C17orf107
NPR3,TMCO3,ENO4,PCDHGA6,RASGRP1,AC055839.2
KDM6A,ZNF765,AP000926.2,CPEB3,KREMEN2,NOS2
RTKN,HOXD10,RASGRF2-AS1,PDGFC,WNT5A,AC099845.1
PYGO1,WNT5A,AC021028.1,INSR,KCNK5,AL157871.5
GLI1,ADCY3,ZNF490,AC010997.5,AC107021.2,AC009686.2
ZNF438,PHF21A,AL023284.4,Z93241.1,NR4A3,TUBA8
PPP1R3D,CASC9,PIH1D2,STAC3,CEBPA-DT,LINC01967
RNF121,LINC02693,ZSCAN20,AC093575.1,AC124016.1,AL121899.4
SSBP2,FNTB,MLXIPL,WASL,AL691432.2,CD22
RAPGEFL1,TSNAXIP1,AL162274.2,TIGD3,CALY,OTUD6A
MAGEE1,PRDM5,PCDHB5,HEXD,NOXA1,AC116535.1
FBXL6,CFAP206,AL133245.1,EXOC2,AL645568.1,AF129408.1
TBC1D32,FLG-AS1,FNDC4,AC055807.1,TNIK,AC092718.5
TMEM184B,ZNF227,PRR15L,ICE2,MAF,LINC02849
SNORC,FBXL19,GTF2IRD2B,AC015917.2,GCNT1,INTS6L
MSX2,KLHL11,TTC13,SP140L,SLC4A8,CCDC39
GPR89A,FRMD5,UNC5D,MSLN,EN1,OLAH
CDK2,ZNF197,ADAM8,F2,PCDH10,AC010776.2
SAMD9,SIMC1,Z93241.1,AC051619.5,LINC01232,DRAXIN
PDGFA,C6orf47,ATP6V1G2,C5orf22,AL161421.1,CAMP
SERPINF1,ZNF2,AC055807.1,C8orf48,AC021097.1,LINC00652
TERT,LRRIQ3,RGS16,AC232271.2,AL353796.1,TPH1
SLC52A2,GPR87,GATA5,FMR1-IT1,AC009878.1,CTXN2
SLC25A16,TAOK2,LINC01806,AC211433.1,PCDHB5,AL118522.1
LRMDA,DNM2,AC097468.3,LNCSRLR,MOCS1,GFI1B
TMEM175,VPS13A,AC067930.3,C8orf88,PCDHA9,AL034548.1
AL080250.1,C8orf88,SLC16A10,POFUT2,ZSWIM3,BHLHB9
CLIC4,SLC39A8,AL365256.1,ZBTB26,AC090229.1,AC005520.3
ACTR1B,TMEM192,TM4SF1-AS1,AC025171.1,SLC2A1-AS1,LCK
HAUS3,TTC30B,AL357075.4,LTA4H,KCNJ16,AL109613.1
SMIM31,L3MBTL3,EML5,IFFO1,PART1,AC145207.4
PRXL2B,DLEU2,GOLGA6L10,SMG7-AS1,AC004012.1,AL049796.1
MSL2,SC5D,CCDC85A,PTAFR,RGL1,EDAR
STRIP1,ARHGAP22,AC093702.1,FEM1A,AP002761.4,TMEM176B
ARNT2,C11orf80,AC027117.2,AC132938.3,ZSCAN20,AC023906.5
WDR78,C1QL1,CCDC9B,RUNX2-AS1,AC137932.3,AL121987.2
ACAD8,GABPB2,CITED1,ATP6V1C2,NPFF,AL157700.1
HECTD3,SACM1L,OASL,AC022075.1,DNLZ,LINC02071
AP001527.2,AC007541.1,LINC01569,AC096861.2,NIPSNAP3B,C3orf49
LBX2,GSTO2,LRRC37A2,GATD1,AC136475.5,SCG3
SMIM1,GOT1,AC131235.2,ATP6V1FNB,IRAK2,AC084117.1
OCLN,UTY,THORLNC,CCDC191,ANKDD1A,AC010624.2
USPL1,CCDC126,AL445183.2,SPAG1,NPIPB4,AC026329.1
FAM167A,SWT1,AC114489.1,AC078785.1,ZNF490,C12orf50
AC011921.1,HINFP,AC137932.2,AL022162.1,LINC00324,AC073046.1
TFCP2L1,AC004825.2,CBLN2,AC015961.2,TTLL11,LRRC66
POLH,PPP3CC,AC012645.1,C1orf54,FAM227B,AC007638.2
MTX3,ZNF469,ULBP3,LINC01483,NEK10,AC073263.2
KLHL22,ERVK9-11,CRYBG1,THAP3,CYB5R2,RB1-DT
SERTAD4,GSTCD,RCOR2,PLIN1,LINC01910,ITGA6-AS1
LRCH1,HJURP,IL17RB,AC012360.1,FAM124A,PKHD1L1
AC062037.3,TMEM8B,SGSM1,LINC01393,EFCAB13,AC025165.4
CCNJ,ENOPH1,TSPAN8,TACR2,AP001107.9,FUT1
TAPBPL,ZNF613,AC010503.4,CASC16,AC105429.1,CYP51A1-AS1
MAP3K10,TESMIN,LRRC8E,AC007285.1,STK32A,AC011753.2
AC027682.6,SLC2A14,WHRN,TMEM198,RASD1,AC004877.1
TPP1,C5orf22,GTF2IRD2,AC034198.2,AC104971.1,AL513327.1
ZNF30,TBP,KLF11,AC087273.2,PLEKHG4B,LINC00501
LIPT2,AKAP5,PARD3B,AC004012.1,LINC00562,LINC01249
ZNF551,SLC12A8,CES4A,AC004160.1,BIRC7,PAK5
AL356481.1,CDK17,AC104971.1,TNFRSF1B,ST3GAL6,AP000424.1
CHRNB4,CTNS,PLEKHG4B,MARK1,KISS1R,CNGA1
ZNF653,PDE6G,HOXA11,NR3C2,AL590399.1,ABHD15-AS1
BEST1,AC245452.1,AC234582.1,AL589787.1,AC015982.2,AC144450.1
BCHE,PPP4R1,ANKRD7,LINC00324,KSR2,RASSF10-DT
TRIM41,AP001372.2,MGARP,AL158211.3,BCL2,AC005519.1
TET3,LINC02245,C2CD4C,CDKL1,MYOM3,MGAT4C
DLG5-AS1,TMEM267,AMPD3,AC013564.1,PPP1R14C,AC084357.2
RAB23,AL353807.5,ATP6V0E2-AS1,DDAH1,AC007906.2,CELF4
ABCA12,ZNF559,KLHDC1,CAPG,ZNF221,DTX1
SLC25A28,AUH,STK32A,AL133245.1,CLDN7,VCAN-AS1
PTK2B,PTCD1,ZNF829,CCDC121,OTUD1,AC234775.3
TP53INP2,SUCLA2,DENND2A,RELT,CALM2,CFAP73
B4GALT6,RABGGTA,U2AF1L5,PSORS1C1,SNX16,AC083805.1
KIF27,ST3GAL1,DKKL1,ATP5MGL,FN3K,AL805961.1
HMGA1P4,HORMAD1,LINC00562,PIP5K1A,ARG2,AF131216.1
TMEM121,FBXO42,DMBX1,LINC01182,LINC01914,ZDHHC22
AC093297.2,AQP11,ERVK9-11,TACC2,CIRBP-AS1,AC144836.1
PEX3,PPP2R2C,CRIPAK,PPP1R3G,H19,SLC24A4
Z99127.4,PLXND1,GRAMD4,ARRDC1,LINC01719,AL359643.2
EPM2A,ZNF263,IL17D,PTPN20,AC067750.1,AP002518.1
TRIM52,SLC12A6,TMEM25,TSC22D3,ZNF425,RYR2
MANEA,N4BP2L2,PITPNM3,HYMAI,RADIL,AC012603.1
SSC4D,LYN,TIGD4,POU2F2,FAM234B,AC141424.1
LPAR6,AC132192.2,LSAMP,EFHD1,DNAJC15,AL357140.2
ADGRA3,CCDC122,DHDH,TMTC4,SCG5,LGR5
LHX4,ITPR3,AL358852.1,ZNF546,ANKRD2,AC007405.1
ELMSAN1,EIF4E3,DEPDC5,AOX1,PJVK,AP000331.1
TMEM135,ZNF695,AC130650.2,AC137932.3,RMRP,GAS6-DT
ZG16B,AC025171.2,ZNF280A,KDM7A,AC096677.1,AP000851.2
CBWD6,RMND5B,LGALS4,MTFMT,SPEG,AC005914.1
ZNF223,TRIM11,BCL6,METTL4,PIGZ,AC073130.2
AL162231.2,MDN1,THAP9,DNAH5,LINC01842,HS1BP3-IT1
ZNF595,NBPF9,FBXO10,AC114271.1,ZNF568,HTRA4
ARFGEF3,RNF208,SERPINA6,BX005266.2,ATP7B,FAM86B2
C18orf25,MAMDC4,SRGAP3,AC021097.1,AL158206.1,LINC01754
ACTR3B,KIAA1958,GALNT5,LINC00663,AC026356.1,AC122129.2
PPP2R3B,AC002454.1,TMEM178B,AC007950.2,LINC01943,MYRFL
OGFRP1,ZNF296,AL359258.2,MYO1F,HHIP,AC020658.4
NRG2,AC009054.2,PARD3-AS1,TNKS2-AS1,MUC5AC,CBFA2T3
CCNT2,PLK4,TMEM140,MED14OS,LINC02657,FAM66A
CERS1,SOCS1,SYCE3,MAP6D1,WDR47,PFKFB1
ZFYVE9,SLC66A3,ADRB1,DPEP1,ANKRD6,ATP13A4
DENND1B,MEIG1,KIF5C,AL024507.2,AL117336.2,AC005046.1
TTLL1,KRBA1,SMIM25,TMEM182,AC106795.2,PCBP3
GRIP1,DOT1L,AC121761.1,ZKSCAN3,NR2F2-AS1,LINC02452
KDM4C,MMGT1,APOLD1,IPO9-AS1,DCST1-AS1,CSE1L-AS1
AL121839.2,TMEM171,ANO8,FOXD3,VIL1,AP001893.1
SLC3A1,NBPF20,AC026801.2,RASGEF1A,AL358472.5,AL359764.2
TDRKH,LMBRD1,KANSL1L,IL15RA,AP001094.2,CARNS1
NDUFV2-AS1,OSBPL10,AP001347.1,AL359232.1,MAP2,AC092053.4
RXRB,AC090515.2,GREM2,ADAM28,AL118506.1,C11orf87
CYB5R1,UBR7,DNAH5,NEU1,CRYBG2,AC008537.4
ERCC5,EME1,ZNF502,AC025048.4,AL136169.1,AL035448.1
ZNF699,HYKK,TTC25,ADAMTS12,CFAP54,AL353576.1
ZBTB25,CLOCK,AC026356.1,AHNAK2,CD226,GOLGA8H
HOMEZ,C19orf73,C10orf95,LATS2,AL391840.3,SLC6A20
GTPBP1,TBC1D12,AL133338.1,DZANK1,LIN7A,BX323046.1
CHFR,AC024060.2,LOXL1,ZDHHC8,ACOT11,ARGFX
RIPPLY3,NIPA1,ZG16B,AL162390.1,FAAH2,ABCB11
SYTL1,ZNF607,TCEA3,AC018638.7,AC002451.1,ZNF682
AC002310.1,MLX,SCG2,AL158832.2,KCNQ5,ELMOD1
TMEM161A,FMNL3,DNAJC3-DT,CYB5R2,DNER,DNAH12
MBOAT1,SASH1,CPLANE1,MZB1,AC017083.1,AC026691.1
FHL1,IQCG,AL031432.4,PSEN1,LSP1,AC100861.2
SYT6,USP20,RASGRF2,ASTE1,C3orf35,Z83844.2
NDUFA4L2,ZNF565,Z93930.2,RC3H1-IT1,CHRNA10,AC104170.1
ECE1,AL353194.1,TRIM66,LIX1L-AS1,NDUFV2-AS1,AL645465.1
LIF,LINC02084,AC068888.2,UTP20,MFAP2,LRRTM2
HKDC1,DMTF1,NRIP3,ANKRD34A,SLC3A1,AL591686.1
GALNTL6,ACSS2,AC104472.4,AL359715.3,CASC2,AC020922.3
AC106791.1,VPS18,IL18R1,AC110615.1,CARD6,AC018635.2
LYRM9,CRY2,CYGB,LINC01424,GK,AL589740.1
EPB41L2,MMUT,SORBS1,FAM78B,RNASEL,AL133396.2
ADH6,USP32,AL645933.2,THAP4,NIPAL2,AL158055.1
TRAF3IP2,OSBPL7,AC134980.2,KCNH2,ADGRD1-AS1,ITIH6
